model,bibkey,dataset,EOS,nus,q,M1,M2,Mb1,Mb2,C1,C2,Lambda,Mej,vej,Yeej,theta_rms,Mdisk,arxiv
SFHo_M140120_M0_v4,Radice:2018pdn(M0),M0/M1Set,SFHo,leakM0,1.16666666666667,1.4,1.2,1.54655,1.30308,0.17405,0.14824,538.206929183586,0.00302384,0.160097161085901,0.218538548707291,,,https://arxiv.org/abs/1809.11161
BHBlp_M125125_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1,1.25,1.25,1.35299,1.35299,0.14018,0.14018,1295.29991380455,0.00126821,0.178573418684,0.125242271236,22.0222732131463,,https://arxiv.org/abs/1809.11161
BHBlp_M1251365_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1.092,1.365,1.25,1.49103,1.35241,0.15266,0.14018,1016.97535763328,0.000580161,0.213024813478,0.136846798679,25.572993982986,,https://arxiv.org/abs/1809.11161
BHBlp_M130130_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1,1.3,1.3,1.41572,1.41572,0.14561,0.14561,1045.67396125715,0.000658751,0.119725908155,0.163376437187,33.5875186203773,,https://arxiv.org/abs/1809.11161
BHBlp_M135135_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1,1.35,1.35,1.47277,1.47277,0.15103,0.15103,848.044957999892,0.000672403,0.166318356069,0.149520482908,28.6762988642841,0.1445,https://arxiv.org/abs/1809.11161
BHBlp_M140120_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1.16666666666667,1.4,1.2,1.53253,1.29693,0.15646,0.13477,1057.59523096822,0.00108822,0.160935823725,0.106069387727,21.7936530794067,0.2074,https://arxiv.org/abs/1809.11161
BHBlp_M140140_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1,1.4,1.4,1.53254,1.53254,0.15646,0.15646,690.630096309075,0.000918827,0.173337811733,0.146825547278,27.7596806371831,0.0705,https://arxiv.org/abs/1809.11161
BHBlp_M144139_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1.03597122302158,1.44,1.39,1.58001,1.52026,0.16083,0.15538,650.209372648612,0.000593162,0.203279926562,0.175112251662,30.3875042167362,0.0828,https://arxiv.org/abs/1809.11161
BHBlp_M150150_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1,1.5,1.5,1.6565,1.6565,0.16739,0.16739,462.552233111546,0.000501553,0.234765225914,0.172081440429,27.5987216951032,0.0193,https://arxiv.org/abs/1809.11161
BHBlp_M160160_LK,Radice:2018pdn(LK),LeakSet,BHBlp,leak,1,1.6,1.6,1.77792,1.77792,0.17841,0.17841,313.053198761784,1.29268E-05,0.139630525652,0.197374706127,31.8271312598979,0.0009,https://arxiv.org/abs/1809.11161
